Date,Day,Week,Quarter,Month,Year,Media Buyer,Vertical,Source,Revenue,Net Profit,Margin,Incoming,Connected,Converted,No Connect,ACL Sec
2025-05-01,Thursday ,18,2,May      ,2025,Scalability,MEDICARE ENGLISH,NULL,4046.90,1081.14,0.267,254,232,133,22,867
2025-05-02,Friday   ,18,2,May      ,2025,Scalability,MEDICARE ENGLISH,NULL,5027.93,1363.83,0.271,293,271,166,22,816
2025-05-05,Monday   ,19,2,May      ,2025,Scalability,MEDICARE ENGLISH,NULL,4964.22,1333.24,0.269,301,277,169,24,859
2025-05-06,Tuesday  ,19,2,May      ,2025,Scalability,MEDICARE ENGLISH,NULL,7659.40,2067.94,0.270,412,384,250,28,927
2025-05-07,Wednesday,19,2,May      ,2025,Scalability,MEDICARE ENGLISH,NULL,8771.54,2340.30,0.267,589,528,318,61,818
2025-05-08,Thursday ,19,2,May      ,2025,Scalability,MEDICARE ENGLISH,NULL,7274.50,1922.86,0.264,466,419,260,47,924
2025-05-09,Friday   ,19,2,May      ,2025,Scalability,MEDICARE ENGLISH,NULL,5504.25,1497.10,0.272,355,325,193,30,713
2025-05-12,Monday   ,20,2,May      ,2025,Scalability,MEDICARE ENGLISH,NULL,3342.84,902.68,0.270,208,189,113,19,793
2025-05-13,Tuesday  ,20,2,May      ,2025,Scalability,MEDICARE ENGLISH,NULL,10360.11,2777.84,0.268,671,617,371,54,812
2025-05-14,Wednesday,20,2,May      ,2025,Scalability,MEDICARE ENGLISH,NULL,11471.33,3088.95,0.269,741,671,411,70,785
2025-05-15,Thursday ,20,2,May      ,2025,Scalability,MEDICARE ENGLISH,NULL,9194.29,2471.01,0.269,608,544,336,64,780
2025-05-16,Friday   ,20,2,May      ,2025,Scalability,MEDICARE ENGLISH,NULL,11126.35,2981.85,0.268,659,607,395,52,895
2025-05-19,Monday   ,21,2,May      ,2025,Matt Watt,MEDICARE ENGLISH,NULL,1849.27,486.09,0.263,192,158,104,34,675
2025-05-19,Monday   ,21,2,May      ,2025,Scalability,MEDICARE ENGLISH,NULL,8830.64,2359.22,0.267,590,530,327,60,813
2025-05-20,Tuesday  ,21,2,May      ,2025,Matt Watt,MEDICARE ENGLISH,NULL,3575.24,1033.31,0.289,226,216,140,10,896
2025-05-20,Tuesday  ,21,2,May      ,2025,Paragon Media,MEDICARE ENGLISH,NULL,948.65,253.65,0.267,99,71,39,28,504
2025-05-20,Tuesday  ,21,2,May      ,2025,Scalability,MEDICARE ENGLISH,NULL,10531.06,2821.95,0.268,685,625,383,60,813
2025-05-21,Wednesday,21,2,May      ,2025,Matt Watt,MEDICARE ENGLISH,NULL,3598.82,927.93,0.258,235,218,133,17,1050
2025-05-21,Wednesday,21,2,May      ,2025,Paragon Media,MEDICARE ENGLISH,NULL,4829.52,1308.75,0.271,382,337,188,45,596
