Date,Day,Week,Quarter,Month,Year,Media Buyer,Vertical,Source,Revenue,Net Profit,Margin,Incoming,Connected,Converted,No Connect,ACL Sec
2025-05-01,Thursday ,18,2,May      ,2025,Northwind Media,MEDICARE ENGLISH,youtube,4609.87,1256.83,0.273,270,228,141,42,679
2025-05-01,Thursday ,18,2,May      ,2025,Blue Harbor Digital,MEDICARE ENGLISH,search,312.69,63.44,0.203,16,14,9,2,850
2025-05-01,Thursday ,18,2,May      ,2025,Blue Harbor Digital,MEDICARE SPANISH,search,60.17,19.02,0.316,2,1,0,1,626
2025-05-01,Thursday ,18,2,May      ,2025,Cedar Lane Ads,ACA ENGLISH,facebook,793.05,NULL,NULL,43,39,19,4,834
2025-05-01,Thursday ,18,2,May      ,2025,Lantern Media Group,MEDICARE ENGLISH,facebook,3981.31,903.65,0.227,219,183,127,36,623
2025-05-01,Thursday ,18,2,May      ,2025,Copperfield Digital,MEDICARE ENGLISH,facebook,411.75,48.63,0.118,20,17,9,3,775
2025-05-01,Thursday ,18,2,May      ,2025,Copperfield Digital,ACA ENGLISH,facebook,92.65,12.28,0.133,4,3,2,1,715
2025-05-01,Thursday ,18,2,May      ,2025,Aster Performance,AUTO ENGLISH,youtube,812.37,67.12,0.083,47,41,24,6,887
2025-05-01,Thursday ,18,2,May      ,2025,Kingfisher Ads,MEDICARE ENGLISH,NULL,4163.02,560.42,0.135,320,269,191,51,899
2025-05-01,Thursday ,18,2,May      ,2025,Sable Creek Media,MEDICARE ENGLISH,facebook,1081.40,157.32,0.145,70,61,31,9,865
2025-05-01,Thursday ,18,2,May      ,2025,Ironwood Digital,ACA ENGLISH,youtube,1631.23,498.09,0.305,109,96,49,13,691
2025-05-01,Thursday ,18,2,May      ,2025,Ironwood Digital,MEDICARE ENGLISH,youtube,6356.14,1244.49,0.196,524,448,222,76,572
2025-05-01,Thursday ,18,2,May      ,2025,Juniper Path,AUTO INSURANCE ENGLISH,search,435.22,-147.58,-0.339,29,24,16,5,809
2025-05-01,Thursday ,18,2,May      ,2025,Juniper Path,MEDICARE SPANISH,search,1035.63,204.88,0.198,57,51,24,6,1036
2025-05-01,Thursday ,18,2,May      ,2025,Halcyon Reach,MEDICARE ENGLISH,search,647.56,108.69,0.168,32,29,18,3,500
2025-05-01,Thursday ,18,2,May      ,2025,Halcyon Reach,MEDICARE SPANISH,search,156.47,40.90,0.261,7,5,3,2,776
2025-05-01,Thursday ,18,2,May      ,2025,Prairie Signal,MEDICARE ENGLISH,youtube,369.87,59.47,0.161,17,15,7,2,999
2025-05-01,Thursday ,18,2,May      ,2025,Prairie Signal,ACA ENGLISH,youtube,251.59,46.75,0.186,16,13,6,3,685
2025-05-01,Thursday ,18,2,May      ,2025,Ember Lane Digital,MEDICARE ENGLISH,facebook,1946.06,468.66,0.241,134,126,69,8,665
2025-05-01,Thursday ,18,2,May      ,2025,Quarry Point,FINAL EXPENSE ENGLISH,NULL,765.43,28.35,0.037,59,48,31,11,707
2025-05-01,Thursday ,18,2,May      ,2025,Slate Harbor Ads,ACA ENGLISH,NULL,531.98,139.91,0.263,28,23,13,5,779
2025-05-01,Thursday ,18,2,May      ,2025,Slate Harbor Ads,MEDICARE ENGLISH,NULL,4283.63,1165.74,0.272,347,315,162,32,660
2025-05-01,Thursday ,18,2,May      ,2025,Windrose Performance,AUTO ENGLISH,NULL,217.73,NULL,NULL,11,9,5,2,596
2025-05-01,Thursday ,18,2,May      ,2025,Windrose Performance,MEDICARE ENGLISH,NULL,813.48,239.19,0.294,48,42,28,6,876
2025-05-01,Thursday ,18,2,May      ,2025,Thornfield Digital,MEDICARE ENGLISH,facebook,620.30,88.80,0.143,51,45,30,6,832
2025-05-01,Thursday ,18,2,May      ,2025,Auburn Peak Media,AUTO INSURANCE ENGLISH,search,104.11,6.26,0.060,5,4,2,1,899
2025-05-02,Friday   ,18,2,May      ,2025,Northwind Media,MEDICARE ENGLISH,youtube,3962.50,341.27,0.086,181,160,92,21,758
2025-05-02,Friday   ,18,2,May      ,2025,Blue Harbor Digital,MEDICARE ENGLISH,search,257.16,30.33,0.118,15,13,7,2,1048
2025-05-02,Friday   ,18,2,May      ,2025,Cedar Lane Ads,ACA ENGLISH,facebook,105.12,16.21,0.154,6,5,3,1,726
2025-05-02,Friday   ,18,2,May      ,2025,Vertex Reach,MEDICARE ENGLISH,facebook,1213.20,218.98,0.180,77,64,39,13,903
2025-05-02,Friday   ,18,2,May      ,2025,Vertex Reach,FINAL EXPENSE ENGLISH,facebook,1264.94,252.63,0.200,70,60,35,10,618
2025-05-02,Friday   ,18,2,May      ,2025,Lantern Media Group,MEDICARE ENGLISH,facebook,3189.25,205.32,0.064,172,158,92,14,969
2025-05-02,Friday   ,18,2,May      ,2025,Kingfisher Ads,MEDICARE ENGLISH,NULL,3211.98,NULL,NULL,209,178,123,31,1070
2025-05-02,Friday   ,18,2,May      ,2025,Bright Meridian,MEDICARE ENGLISH,facebook,1003.69,163.64,0.163,69,59,40,10,903
2025-05-02,Friday   ,18,2,May      ,2025,Ironwood Digital,ACA ENGLISH,youtube,2804.64,656.68,0.234,201,189,94,12,810
2025-05-02,Friday   ,18,2,May      ,2025,Ironwood Digital,MEDICARE ENGLISH,youtube,9736.26,2305.43,0.237,632,587,267,45,608
2025-05-02,Friday   ,18,2,May      ,2025,Juniper Path,AUTO INSURANCE ENGLISH,search,274.40,89.79,0.327,15,12,5,3,727
2025-05-02,Friday   ,18,2,May      ,2025,Halcyon Reach,MEDICARE ENGLISH,search,539.08,79.28,0.147,36,32,17,4,828
2025-05-02,Friday   ,18,2,May      ,2025,Halcyon Reach,MEDICARE SPANISH,search,312.77,37.79,0.121,17,15,8,2,896
2025-05-02,Friday   ,18,2,May      ,2025,Prairie Signal,MEDICARE ENGLISH,youtube,349.87,46.23,0.132,26,21,13,5,969
2025-05-02,Friday   ,18,2,May      ,2025,Prairie Signal,ACA ENGLISH,youtube,42.92,8.53,0.199,2,1,0,1,559
2025-05-02,Friday   ,18,2,May      ,2025,Silverpine Ads,AUTO INSURANCE ENGLISH,facebook,235.53,52.26,0.222,12,11,6,1,635
2025-05-02,Friday   ,18,2,May      ,2025,Silverpine Ads,AUTO ENGLISH,facebook,153.15,5.73,0.037,7,6,2,1,919
2025-05-02,Friday   ,18,2,May      ,2025,Foxglove Media,AUTO ENGLISH,search,557.69,NULL,NULL,30,28,17,2,894
2025-05-02,Friday   ,18,2,May      ,2025,Tidewater Reach,MEDICARE ENGLISH,facebook,1650.87,310.06,0.188,103,91,49,12,683
2025-05-02,Friday   ,18,2,May      ,2025,Marigold Digital,MEDICARE ENGLISH,facebook,2649.78,496.89,0.188,124,112,66,12,628
2025-05-02,Friday   ,18,2,May      ,2025,Slate Harbor Ads,ACA ENGLISH,NULL,638.39,148.90,0.233,31,28,14,3,1006
2025-05-02,Friday   ,18,2,May      ,2025,Bellweather Media,MEDICARE ENGLISH,NULL,420.48,42.84,0.102,22,18,12,4,1019
2025-05-02,Friday   ,18,2,May      ,2025,Bellweather Media,MEDICARE SPANISH,NULL,83.92,14.02,0.167,6,5,3,1,713
2025-05-02,Friday   ,18,2,May      ,2025,Cobalt Grove,MEDICARE ENGLISH,facebook,833.50,130.82,0.157,44,40,28,4,666
2025-05-02,Friday   ,18,2,May      ,2025,Windrose Performance,AUTO ENGLISH,NULL,191.66,29.20,0.152,9,7,4,2,593
2025-05-02,Friday   ,18,2,May      ,2025,Auburn Peak Media,AUTO INSURANCE ENGLISH,search,84.95,-12.15,-0.143,5,4,1,1,659
2025-05-02,Friday   ,18,2,May      ,2025,Auburn Peak Media,FINAL EXPENSE ENGLISH,search,173.97,18.10,0.104,8,6,4,2,623
2025-05-02,Friday   ,18,2,May      ,2025,Larkspur Ads,FINAL EXPENSE ENGLISH,NULL,1203.01,239.00,0.199,74,63,31,11,985
